yearmoth  min	  5th	   med	    95th     max
195102  268.51   269.04   273.32   276.48   276.62 
195103  272.80   273.42   276.55   279.62   280.34 
195104  277.22   278.10   281.71   286.23   288.02 
195105  285.18   285.27   288.75   292.23   293.18 
195106  292.26   292.35   295.14   299.04   299.13 
195107  297.62   297.63   300.61   302.67   302.86 
195108  295.45   297.12   300.73   302.11   302.37 
195109  291.30   291.44   294.93   297.14   297.45 
195110  283.78   284.00   286.02   289.63   290.16 
195111  273.46   273.84   276.89   280.95   282.67 
195112  268.03   268.56   271.24   274.68   275.57 
195201  265.95   266.35   269.78   273.05   274.82 
195202  265.96   266.52   272.76   276.12   276.65 
195203  270.19   271.95   276.22   279.10   280.49 
195204  276.87   277.72   281.35   285.16   285.68 
195205  285.74   285.94   288.96   291.32   291.94 
195206  291.76   292.63   295.34   297.82   298.47 
195207  296.86   298.05   300.72   302.64   302.92 
195208  297.35   298.03   300.18   302.34   302.47 
195209  291.01   291.97   294.95   296.70   296.96 
195210  283.48   283.56   286.60   288.97   289.45 
195211  273.89   274.17   277.14   281.20   281.93 
195212  265.18   267.01   271.54   273.89   274.31 
195301  263.31   266.86   270.31   274.79   275.17 
195302  268.63   270.09   273.07   277.23   278.05 
195303  272.54   272.78   276.85   279.61   279.94 
195304  276.78   278.43   281.05   285.24   286.52 
195305  285.37   286.12   289.14   291.41   291.82 
195306  292.86   293.15   295.73   298.41   298.44 
195307  295.48   297.96   301.06   302.73   303.17 
195308  296.89   297.44   300.45   302.09   302.46 
195309  291.30   291.35   294.28   297.67   297.89 
195310  282.70   283.19   285.72   288.95   290.58 
195311  271.75   273.02   276.58   282.54   282.68 
195312  265.36   265.67   271.17   275.16   276.36 
195401  267.29   267.48   271.32   275.23   275.99 
195402  267.24   268.20   274.21   277.57   278.39 
195403  273.61   274.08   277.13   280.40   283.17 
195404  277.72   277.92   281.33   284.64   284.80 
195405  285.55   285.63   288.85   291.87   291.91 
195406  291.01   292.07   295.39   297.99   297.99 
195407  296.50   298.20   300.39   302.70   303.31 
195408  297.54   297.65   299.66   301.69   301.89 
195409  291.27   291.52   293.89   296.39   297.13 
195410  283.85   283.97   285.95   288.90   289.46 
195411  274.00   274.22   276.90   279.29   280.13 
195412  265.86   266.05   270.40   274.49   275.36 
195501  263.82   266.37   269.96   275.17   275.20 
195502  268.92   269.21   272.60   276.45   276.56 
195503  272.18   272.20   276.27   279.70   280.13 
195504  278.31   278.33   281.28   284.97   286.28 
195505  285.21   285.43   288.18   291.94   293.49 
195506  292.45   292.87   295.69   298.08   298.45 
195507  296.50   296.80   300.69   302.24   303.64 
195508  297.28   297.39   300.23   301.74   301.76 
195509  291.41   292.05   294.88   296.10   296.55 
195510  282.62   283.25   285.57   289.46   289.87 
195511  274.55   274.59   277.17   279.66   280.10 
195512  266.48   266.94   271.45   275.19   276.05 
195601  265.78   267.48   270.67   273.93   274.11 
195602  267.18   267.91   272.27   276.38   276.87 
195603  272.27   272.68   276.06   278.78   279.43 
195604  276.95   277.80   280.85   283.46   284.51 
195605  285.76   285.90   288.98   291.61   291.90 
195606  292.32   292.34   295.34   297.63   298.46 
195607  297.60   298.32   300.29   302.98   304.05 
195608  297.21   298.33   300.08   301.86   302.32 
195609  291.82   292.07   294.85   297.14   297.25 
195610  283.40   284.58   286.86   289.51   290.22 
195611  272.31   274.50   277.39   280.51   281.10 
195612  265.95   267.67   270.83   274.30   274.40 
195701  265.14   266.53   270.91   275.02   275.04 
195702  267.70   268.38   273.18   276.42   277.02 
195703  271.71   273.18   276.27   278.90   279.62 
195704  279.37   279.68   281.94   284.92   285.02 
195705  285.92   286.82   289.47   292.44   294.24 
195706  291.95   292.02   295.48   297.62   298.81 
195707  295.99   296.78   300.28   302.83   303.21 
195708  297.60   297.61   300.45   301.92   301.96 
195709  291.81   292.66   294.63   296.48   296.52 
195710  281.71   284.35   286.24   288.22   288.72 
195711  273.34   274.28   276.97   280.04   280.28 
195712  266.29   266.84   271.18   272.87   276.15 
195801  265.26   265.60   270.46   274.46   274.47 
195802  268.03   268.67   272.45   276.57   278.91 
195803  271.26   272.37   275.63   279.49   280.12 
195804  277.53   277.97   281.80   285.22   285.82 
195805  285.35   285.92   288.60   292.30   292.45 
195806  292.66   293.18   295.73   298.73   299.31 
195807  297.18   298.16   300.39   302.46   302.79 
195808  297.23   297.98   300.06   302.27   302.42 
195809  290.20   292.12   294.38   296.36   296.38 
195810  282.55   282.93   286.16   288.96   289.84 
195811  272.37   273.60   276.63   279.48   279.65 
195812  265.78   266.99   271.14   274.81   275.05 
195901  266.20   266.73   269.91   274.00   275.03 
195902  268.27   269.41   271.94   276.34   277.74 
195903  270.82   272.36   275.98   279.22   281.19 
195904  277.70   277.81   281.18   283.53   284.48 
195905  285.78   285.89   289.41   291.42   291.76 
195906  291.36   291.79   296.04   299.07   299.12 
195907  297.38   297.52   299.83   302.20   302.29 
195908  295.68   296.51   300.23   302.26   302.54 
195909  290.70   291.29   294.23   296.65   297.02 
195910  283.14   283.53   286.24   289.83   290.10 
195911  271.36   271.93   277.29   279.97   280.10 
195912  267.36   267.70   270.89   273.80   274.66 
196001  263.56   264.23   270.58   272.34   272.51 
196002  268.47   269.96   272.84   276.66   278.64 
196003  271.18   273.46   276.46   279.70   280.34 
196004  278.44   278.81   281.20   285.77   288.76 
196005  285.33   286.19   288.97   291.98   292.27 
196006  292.44   292.84   295.11   297.60   297.64 
196007  295.89   298.07   300.31   302.32   302.42 
196008  297.17   297.43   299.99   302.33   302.59 
196009  291.04   291.27   294.39   297.33   297.82 
196010  282.77   283.66   285.99   288.88   289.13 
196011  273.31   274.96   277.27   280.35   280.52 
196012  264.10   267.39   271.22   274.02   274.09 
196101  264.38   265.00   269.81   273.38   275.27 
196102  268.39   268.49   273.32   276.41   277.80 
196103  271.73   272.88   275.92   279.70   280.63 
196104  278.21   278.29   281.68   284.35   284.58 
196105  284.99   284.99   289.05   292.75   294.26 
196106  291.50   292.20   295.76   298.59   298.68 
196107  298.13   298.55   300.50   302.55   302.67 
196108  296.62   297.51   299.85   302.31   302.40 
196109  290.67   291.20   294.15   296.17   296.25 
196110  282.49   283.62   286.42   289.28   289.41 
196111  272.90   273.88   277.66   281.43   281.84 
196112  266.95   267.15   271.22   273.84   274.31 
196201  265.17   265.58   270.18   274.13   274.71 
196202  266.13   269.23   273.07   277.24   277.69 
196203  272.51   272.88   276.44   280.60   281.29 
196204  277.54   278.13   281.87   285.08   285.10 
196205  285.65   286.13   289.83   291.61   291.72 
196206  291.41   292.63   295.98   299.06   299.07 
196207  296.96   298.13   300.43   302.82   303.35 
196208  296.89   297.21   300.21   302.15   302.25 
196209  291.20   292.42   293.92   297.10   297.34 
196210  283.35   283.52   285.89   288.50   288.91 
196211  273.07   275.14   277.41   280.69   281.27 
196212  266.08   267.67   271.21   275.00   275.15 
196301  265.67   267.20   269.70   273.35   274.34 
196302  267.88   269.41   272.74   275.59   276.49 
196303  273.07   274.23   276.56   279.29   279.84 
196304  276.21   278.08   281.43   285.94   286.77 
196305  284.20   285.99   289.05   291.48   292.23 
196306  291.60   292.16   295.36   297.58   297.82 
196307  296.21   297.34   300.12   301.93   301.94 
196308  295.60   296.69   299.66   300.92   301.94 
196309  289.78   290.04   293.93   296.09   296.79 
196310  282.02   283.01   285.28   288.35   288.97 
196311  271.64   272.10   277.05   279.96   280.09 
196312  263.40   265.51   269.62   273.48   273.55 
196401  264.84   265.85   269.84   273.46   274.27 
196402  268.10   268.72   272.49   275.38   276.35 
196403  271.44   272.41   275.44   277.95   278.43 
196404  276.01   276.96   280.33   283.58   284.13 
196405  284.69   285.41   287.82   290.88   290.93 
196406  291.72   292.00   294.87   296.92   297.38 
196407  294.39   296.71   299.57   301.85   302.20 
196408  296.52   296.71   299.10   300.99   302.03 
196409  290.77   291.05   293.97   296.42   296.86 
196410  282.67   282.90   285.99   288.14   288.36 
196411  273.84   274.19   276.81   279.41   281.00 
196412  267.00   267.47   270.39   273.56   273.98 
196501  264.80   265.89   270.04   273.12   274.16 
196502  269.00   269.06   273.11   275.92   277.47 
196503  272.00   272.63   275.37   278.52   278.63 
196504  278.01   278.28   280.85   284.60   284.97 
196505  283.61   284.52   288.41   291.83   291.95 
196506  291.20   291.30   294.52   297.09   297.22 
196507  296.02   296.38   299.71   302.08   302.42 
196508  295.81   296.60   299.97   301.44   302.18 
196509  290.70   291.05   294.37   296.29   297.03 
196510  282.85   282.92   285.63   288.26   288.64 
196511  271.74   273.65   277.35   281.39   281.79 
196512  266.80   267.03   270.50   273.00   274.12 
196601  262.49   263.69   269.02   273.05   273.50 
196602  265.83   267.10   271.94   276.27   276.86 
196603  271.50   271.71   275.96   278.65   279.47 
196604  277.59   277.61   280.79   285.72   285.84 
196605  284.90   285.25   288.25   291.57   291.73 
196606  291.56   292.67   295.69   299.28   300.58 
196607  296.57   298.06   300.21   302.00   302.35 
196608  296.42   298.27   300.16   301.11   301.71 
196609  290.92   291.63   294.06   296.62   297.36 
196610  282.24   283.45   285.92   288.89   288.92 
196611  274.23   274.67   277.63   279.92   280.78 
196612  267.57   267.73   271.07   276.50   277.87 
196701  264.57   266.82   270.53   274.85   277.04 
196702  266.35   269.67   273.02   278.15   279.44 
196703  270.11   273.83   276.62   279.82   280.11 
196704  277.93   278.52   281.62   285.15   285.62 
196705  284.64   285.83   288.71   291.32   291.90 
196706  292.07   292.32   295.60   298.32   298.52 
196707  297.34   297.49   300.50   302.84   303.19 
196708  297.01   297.79   299.98   301.81   302.10 
196709  291.91   291.94   294.49   296.45   297.63 
196710  283.01   283.32   285.67   288.88   289.98 
196711  274.58   274.60   277.17   280.46   280.95 
196712  268.03   268.07   270.71   274.57   275.03 
196801  264.90   266.75   270.55   275.71   276.33 
196802  268.33   268.73   273.20   277.24   277.42 
196803  272.53   274.44   276.51   279.53   283.53 
