yearmoth  min	  5th	   med	    95th     max
194409   16.29    16.60    37.43    92.89    98.24 
194410   13.18    14.91    39.24    91.32    96.12 
194411   21.93    24.04    47.98    85.82    85.84 
194412   19.38    22.62    48.13   120.66   120.89 
194501   10.80    12.03    40.24   100.13   113.08 
194502    5.05    10.14    47.47    78.18    86.71 
194503   25.56    27.80    52.96    84.61    99.44 
194504   24.61    31.25    62.89   116.80   118.47 
194505   18.12    28.82    66.32   106.40   134.84 
194506    6.37     9.54    39.49    94.02    97.94 
194507   16.29    17.04    44.22    83.24    88.37 
194508   15.41    16.32    45.00    91.03    95.67 
194509    6.44     9.85    34.93    59.72    60.92 
194510    7.63     7.81    40.90    76.40    79.85 
194511    5.27     6.03    42.31    78.44    80.52 
194512    6.22    11.93    38.42    79.44    86.37 
194601    6.38    14.41    37.53    98.56   121.32 
194602    7.90     9.90    42.66    84.17   106.52 
194603   26.45    29.05    55.35    88.61    90.11 
194604   19.38    19.87    66.73    98.04   114.55 
194605   24.68    31.23    74.68   109.73   121.00 
194606   12.60    15.01    47.32    92.63    96.80 
194607   18.76    23.27    53.51    87.87    97.88 
194608   23.34    25.15    51.91   101.14   102.90 
194609    6.40     6.85    31.66    75.33    87.50 
194610    9.41    14.26    40.11    87.23   102.23 
194611   12.13    14.59    48.93    89.38   103.44 
194612   12.46    16.91    47.70    93.96   105.00 
194701    9.06    14.74    34.37    79.70   119.04 
194702    6.58     7.55    41.44   108.97   112.93 
194703   32.48    35.40    60.31    85.90    92.61 
194704   23.92    25.09    63.76   105.17   105.45 
194705   23.60    29.06    59.40    99.48   104.52 
194706   15.20    22.31    45.63    87.89   105.98 
194707   19.76    21.06    49.68   103.82   109.68 
194708   14.67    17.46    46.63    79.79    86.00 
194709    3.93     5.68    33.43    70.83    93.58 
194710    9.03    11.16    41.63    83.10    97.92 
194711   10.17    13.80    46.54    78.53    93.29 
194712    9.53    13.36    37.38    86.74   112.96 
194801    8.01     8.44    40.18   122.87   130.61 
194802    8.93    16.27    42.14    95.06    96.66 
194803   22.21    22.48    69.21    96.50    97.12 
194804   20.10    26.42    61.33   106.05   106.83 
194805   19.38    21.46    61.88   103.42   127.78 
194806   17.14    22.40    45.50    92.15   102.52 
194807   18.27    21.66    54.97    86.50    87.40 
194808   15.05    19.30    41.34   107.26   112.00 
194809    4.84     9.93    45.45    68.84    78.53 
194810    5.43    10.07    43.38    98.61   102.78 
194811    9.10    11.93    47.12    84.13    86.37 
194812    7.46    13.65    45.58    78.94    85.66 
194901   11.81    16.24    45.85    98.16   110.44 
194902    7.93     8.39    38.69    79.91    82.61 
194903   29.80    31.27    59.40   107.95   117.82 
194904   25.95    31.35    67.24   100.64   119.52 
194905   31.71    32.27    71.00   106.89   112.70 
194906   19.72    21.47    44.74    77.69    81.03 
194907   19.77    22.28    45.87   111.28   126.45 
194908   11.11    15.85    39.80    80.00    91.56 
194909   10.09    12.26    43.16    91.59    94.31 
194910   14.86    14.99    45.86    78.61    85.86 
194911   12.42    18.66    48.82    86.96    88.17 
194912    9.81    20.66    52.36   104.78   156.59 
195001    9.79     9.91    35.68    97.18   188.65 
195002   12.41    15.34    47.63    91.94    98.31 
195003   14.30    20.75    57.20   101.73   115.12 
195004   18.06    34.30    64.32    97.23   108.57 
195005   18.96    21.02    61.14    96.79    97.55 
195006   11.97    14.81    39.96    72.67   123.43 
195007   15.02    18.97    50.64    84.85    87.19 
195008   14.99    17.29    44.99    93.51    98.52 
195009    8.69     9.61    40.85    88.36    90.12 
195010   22.74    25.12    46.14    72.47    79.50 
195011    8.17    12.04    46.06    76.32    89.03 
195012   11.17    13.91    42.08   103.44   107.08 
195101   16.59    17.74    35.31    92.69    94.32 
195102   11.85    16.25    43.68   112.36   126.56 
195103   30.66    32.83    56.28    92.13    96.31 
195104   14.42    20.81    59.84    97.16   101.79 
195105   12.51    26.74    70.33   113.32   113.42 
195106   12.24    13.33    44.54   103.27   103.53 
195107   23.92    34.05    53.29    84.16    93.04 
195108   15.91    16.87    40.26   103.92   105.13 
195109    4.83    14.69    40.20    77.78    78.74 
195110    3.78     7.91    39.39    75.89    88.41 
195111    6.21    14.67    39.92   102.94   117.71 
195112   16.73    17.36    48.36   103.02   148.40 
195201   12.61    19.01    48.12    95.32   138.56 
195202    9.22     9.62    44.93    87.90   103.70 
195203   24.03    25.24    63.22   108.90   116.70 
195204   23.19    40.48    66.94    96.78    97.67 
195205   22.91    33.57    71.77    93.69   103.58 
195206    9.08    11.42    48.02   104.13   111.85 
195207   20.47    21.07    50.09    89.29   100.74 
195208   16.98    18.63    43.80    84.89    88.56 
195209    4.78     9.85    32.11    86.01    90.09 
195210    5.94    14.48    37.55    72.87    76.38 
195211    9.14    10.88    35.93    75.16   131.74 
195212   21.89    22.19    51.11    87.82    93.95 
195301    6.49     8.62    43.50   102.58   127.17 
195302    9.68    13.29    41.19    97.06   117.31 
195303   17.98    35.85    59.00    96.27    99.45 
195304   20.14    23.19    63.52   109.66   116.96 
195305   24.51    31.25    63.77   117.95   133.73 
195306   15.75    22.89    40.42    81.28    99.84 
195307   15.17    19.35    45.28    98.56   106.63 
195308   22.12    22.90    46.94    98.56   102.96 
195309    7.37     8.87    38.26    89.85   114.25 
195310    5.06    17.32    43.51    92.87   106.25 
195311    8.76    21.45    43.75    81.37    93.14 
195312   10.71    15.79    42.27    83.32    85.88 
195401    7.93    10.66    40.06   117.57   140.60 
195402   10.40    14.19    39.72    76.84    87.77 
195403   26.15    30.96    60.42   107.50   114.12 
195404   28.96    32.51    69.75   107.83   109.94 
195405   17.94    35.24    64.93   112.71   113.43 
195406   10.59    18.71    47.94   116.82   117.98 
195407   11.93    18.91    45.92    82.76   100.18 
195408   16.44    20.99    49.86    91.18   110.53 
195409    7.99     8.76    41.52    79.16    85.14 
195410   16.40    16.60    47.60    83.41    87.94 
195411   14.73    18.77    48.55    89.90    95.13 
195412    4.78    20.63    41.18    93.49    95.70 
195501    6.99    15.22    51.78    84.81   113.37 
195502   19.88    20.33    39.89    80.41    82.31 
195503   32.57    33.55    57.89    84.72    99.11 
195504   20.90    33.36    59.50   105.12   106.35 
195505   24.22    26.39    70.40   118.06   121.72 
195506    9.93    10.67    43.16    81.76    84.24 
195507    8.04    15.56    42.51    80.23    82.30 
195508   15.88    21.96    44.84    82.29    93.06 
195509    5.00    10.64    36.73    67.94    96.15 
195510   17.61    18.48    50.37    81.78   111.07 
195511   22.12    24.42    46.40    83.68   108.85 
195512   18.00    19.61    40.46   111.61   119.29 
195601   13.29    14.45    47.02   102.69   108.09 
195602    4.99    17.47    47.40   105.26   116.47 
195603   29.76    33.47    60.87    98.09   105.13 
195604   31.10    32.10    65.92   107.68   112.70 
195605   31.76    32.06    63.13   103.32   120.25 
195606    7.62    21.89    43.99    78.25    79.04 
195607   17.18    19.26    44.90    90.36   104.89 
195608    9.07    13.34    43.87    82.91   102.80 
195609    4.88     6.15    32.59    66.18    85.67 
195610    3.31     6.47    37.66    78.49   107.99 
195611   15.47    18.75    42.99    86.44   103.76 
195612   14.16    14.30    47.99   100.79   116.02 
195701    1.81     7.75    43.05   107.28   114.92 
195702    9.38    20.25    39.25    87.88   100.96 
195703   24.15    28.37    52.47    78.71    96.94 
195704   17.35    21.80    57.58    95.62   103.69 
195705   26.68    26.73    61.23   104.45   144.84 
195706   21.95    25.16    45.49    86.39    88.60 
195707   21.70    22.86    50.43    98.17   109.36 
195708   13.13    15.74    45.65    86.41    88.94 
195709   13.65    16.79    36.71    77.62    83.61 
195710   10.82    13.61    45.59    79.43    84.43 
195711   16.13    20.19    44.60    91.17   103.32 
195712    5.25     7.78    47.11    95.93   111.42 
195801    7.21    11.48    45.77    99.19   111.11 
195802   16.87    20.03    47.19    94.86    97.17 
195803   25.59    27.24    65.41    98.01   101.19 
195804   20.59    21.58    56.44    86.53    89.84 
195805   19.36    35.34    61.27   129.73   131.30 
195806   14.63    15.47    35.02    76.86    81.90 
